,All people,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100 and over
S01000001,872,13,14,11,15,9,5,9,5,6,5,3,5,1,9,11,2,5,10,5,11,7,11,10,3,17,13,15,15,24,16,15,10,16,12,16,7,16,15,21,12,14,12,17,8,11,16,17,15,14,18,8,14,13,18,13,14,14,14,9,11,9,7,10,11,16,4,9,10,7,8,4,3,9,8,5,3,5,3,6,5,2,4,5,5,6,4,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0
S01000002,678,14,13,19,5,12,9,20,10,12,15,8,11,11,15,6,7,5,6,3,5,3,0,4,2,5,5,6,10,10,7,17,15,16,19,16,15,14,20,17,18,20,27,14,11,19,11,8,8,15,11,5,12,10,9,7,6,6,8,3,4,5,4,2,3,3,0,4,3,3,1,0,2,1,0,1,0,1,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
S01000003,788,10,10,8,7,8,7,4,6,4,8,11,8,8,11,9,4,18,7,8,13,12,8,15,16,15,22,20,24,13,18,15,14,16,13,7,6,7,7,10,7,14,12,12,20,22,12,14,14,22,21,18,16,19,19,12,12,6,9,10,8,5,6,2,5,9,1,6,4,3,1,2,1,3,1,3,2,1,0,1,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S01000004,612,10,3,6,5,7,2,7,10,12,7,6,5,10,7,13,9,7,10,8,1,7,11,6,10,13,12,7,4,6,4,8,6,9,12,12,9,11,6,12,12,6,11,11,11,12,11,20,15,20,15,15,12,12,10,12,3,2,7,4,6,8,7,5,3,5,4,3,5,1,3,1,0,1,4,4,7,1,4,3,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S01000005,643,14,6,5,5,6,6,9,3,3,6,4,7,3,4,7,3,4,6,3,4,6,7,4,19,10,13,7,13,11,10,15,18,13,9,12,7,12,12,11,18,7,10,9,9,9,20,7,14,15,12,12,8,9,8,13,9,5,16,10,14,4,7,12,6,8,4,9,1,2,7,1,0,3,3,3,2,0,5,2,2,1,2,0,1,1,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0
S01000006,644,5,5,8,3,8,4,2,6,4,4,10,13,4,8,9,2,8,8,8,6,9,6,4,5,10,2,5,7,7,6,9,5,6,2,5,7,5,9,7,9,8,6,12,10,10,12,11,9,12,13,6,15,9,9,8,12,6,7,10,9,7,8,4,3,10,4,7,6,11,8,6,5,12,8,7,3,4,4,8,4,7,8,4,2,5,5,7,3,7,6,5,3,3,1,3,0,2,0,0,0,0
S01000007,751,2,5,6,4,3,6,6,2,10,11,10,10,5,7,20,11,16,14,9,12,2,6,7,9,5,7,2,3,4,4,1,7,2,4,5,2,7,8,5,13,12,4,9,10,16,9,13,20,11,14,9,10,14,15,14,16,8,9,10,11,7,8,14,9,18,8,17,10,10,8,8,14,13,8,11,15,5,7,9,4,6,4,6,3,5,4,6,4,1,1,0,0,0,2,0,0,0,0,0,0,0
S01000008,580,4,8,9,5,7,10,7,8,8,8,3,6,7,3,4,4,3,4,6,5,3,3,8,5,8,3,3,9,4,7,5,11,5,18,7,14,4,7,15,9,13,8,5,5,8,8,9,10,9,6,6,8,9,2,7,12,7,6,9,10,9,14,8,8,13,1,5,5,6,5,6,4,6,3,4,4,4,6,5,4,3,3,8,6,4,0,3,0,0,2,0,2,3,1,0,0,1,0,0,0,0
S01000009,681,7,6,3,7,3,3,10,5,6,8,11,9,6,6,9,8,7,9,9,7,8,14,4,4,9,6,2,6,6,4,8,4,5,9,15,6,8,8,8,4,13,7,13,10,15,13,13,15,21,9,12,10,11,9,10,13,11,11,7,8,16,11,9,17,8,6,6,5,4,5,8,5,5,5,9,8,7,6,5,3,4,4,1,4,3,3,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0
S01000010,514,2,2,2,3,3,2,4,2,1,2,4,3,2,3,4,6,6,6,4,7,7,7,7,8,10,9,4,6,3,4,3,3,3,6,2,6,7,4,0,9,6,6,11,10,9,5,9,7,11,14,15,14,14,13,9,14,13,11,9,3,9,11,8,10,11,9,6,8,9,9,3,5,1,7,3,3,1,5,3,2,2,2,2,1,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
