msoaiz,Total weekly income (£)
E02004297,630
E02004290,730
E02004298,690
E02004299,540
E02004291,500
E02004300,490
E02004292,680
E02004301,480
E02004302,490
E02004303,540
E02004293,470
E02004304,540
E02004294,790
E02004305,540
E02004295,640
E02004320,620
E02004321,530
E02004322,490
E02004296,580
E02004306,690
E02004323,540
E02004308,730
E02004309,620
E02004307,590
E02004324,590
E02004310,600
E02004311,620
E02004312,710
E02004313,520
E02004314,580
E02004316,550
E02004325,500
E02004315,890
E02004326,600
E02004328,590
E02004327,550
E02004329,710
E02004317,550
E02004330,540
E02004331,530
E02004318,670
E02004348,630
E02004332,620
E02004319,650
E02004349,520
E02004350,580
E02004333,620
E02004334,590
E02004335,460
E02004336,490
E02004351,500
E02004337,560
E02004338,500
E02004339,790
E02004352,530
E02004353,610
E02004354,570
E02004355,490
E02004340,480
E02004341,770
E02004342,520
E02004343,520
E02004344,580
E02004345,600
E02004346,710
E02004347,570
E02002559,840
E02002560,660
E02002561,680
E02002562,430
E02002563,560
E02002564,530
E02002565,590
E02002566,450
E02002567,490
E02002568,850
E02002569,770
E02002570,460
E02002571,540
E02002572,550
E02002573,760
E02002483,640
E02002484,440
E02002485,450
E02002487,420
E02002488,730
E02002489,450
E02002490,490
E02002491,460
E02002492,490
E02002493,630
E02002494,450
E02006909,740
E02002496,370
E02002497,420
E02002498,370
E02002499,430
E02002500,550
E02002501,490
E02002502,440
E02002503,510
E02002504,690
E02002505,430
E02002506,450
E02002507,680
E02002508,650
E02002509,560
E02002510,630
E02002512,860
E02002513,560
E02002514,580
E02006811,780
E02005706,490
E02005707,620
E02005708,550
E02005702,750
E02005703,550
E02005704,610
E02005705,700
E02005720,570
E02005734,510
E02005735,500
E02005721,620
E02005737,580
E02005736,550
E02005738,650
E02005722,900
E02005723,560
E02005739,580
E02005724,920
E02005727,660
E02005740,520
E02005741,690
E02005709,430
E02005710,510
E02005711,520
E02005712,630
E02005713,780
E02005714,1040
E02005716,630
E02005715,560
E02005717,640
E02005718,650
E02005719,610
E02005725,780
E02005726,960
E02005730,660
E02005729,830
E02005728,600
E02005731,650
E02005732,830
E02005733,720
E02002515,470
E02002516,510
E02002517,510
E02002518,680
E02002519,500
E02002520,640
E02002521,570
E02002523,440
E02002524,560
E02002525,520
E02002526,570
E02002527,470
E02002529,580
E02002530,550
E02002532,480
E02002533,750
E02002534,780
E02006812,570
E02006910,520
E02002535,720
E02002536,530
E02002537,480
E02002538,550
E02002539,820
E02002540,700
E02002541,590
E02002542,480
E02002543,490
E02002544,470
E02002545,660
E02002546,520
E02002547,660
E02002548,390
E02002549,670
E02002550,670
E02002551,430
E02002552,540
E02002553,540
E02002554,510
E02002555,770
E02002556,920
E02002557,1040
E02002558,830
E02001682,630
E02001683,630
E02001684,480
E02001685,500
E02001686,580
E02001688,470
E02001689,490
E02001690,610
E02001691,550
E02001692,460
E02001693,460
E02001694,590
E02001695,650
E02001696,480
E02001697,690
E02001698,740
E02001699,540
E02001700,630
E02001701,710
E02001702,460
E02001703,680
E02001704,480
E02001705,550
E02001706,550
E02001707,560
E02006841,510
E02006842,550
E02001708,650
E02001709,900
E02001710,490
E02001711,530
E02001712,840
E02001713,840
E02001714,800
E02001715,570
E02001718,490
E02001719,700
E02001720,850
E02001721,540
E02001722,510
E02001723,560
E02001724,720
E02001725,530
E02001726,520
E02001727,510
E02001728,550
E02001729,530
E02001730,480
E02001731,420
E02001732,480
E02001733,430
E02001734,470
E02001735,400
E02001736,430
E02001737,380
E02006893,620
E02001738,840
E02001739,570
E02001740,1000
E02001741,600
E02001742,800
E02001743,690
E02001744,630
E02001745,580
E02001746,650
E02001747,670
E02001748,650
E02001749,640
E02001750,700
E02001751,580
E02001752,530
E02001753,670
E02001754,760
E02001755,720
E02001756,510
E02001757,560
E02001758,620
E02001759,550
E02001760,450
E02001761,540
E02001762,630
E02001763,450
E02001764,470
E02001765,440
E02001766,530
E02001767,500
E02001768,530
E02001769,400
E02001770,590
E02001771,530
E02001772,580
E02001773,690
E02001774,500
E02001775,470
E02001776,530
E02001777,590
E02001778,460
E02001779,460
E02001780,540
E02001781,420
E02001782,510
E02001783,450
E02001784,530
E02001785,570
E02001786,490
E02001787,600
E02001788,570
E02001789,890
E02001790,680
E02001791,680
E02001792,670
E02001793,440
E02001794,460
E02001795,460
E02001796,550
E02001797,700
E02001798,490
E02001799,470
E02001800,620
E02001801,500
E02001802,470
E02001803,430
E02001804,500
E02001805,590
E02001806,410
E02001807,610
E02001808,620
E02001809,630
E02001810,610
E02001811,480
E02001812,750
E02001813,450
E02001814,540
E02001815,740
E02001816,460
E02001817,500
E02001818,560
E02001819,720
E02001820,590
E02001821,640
E02001822,620
E02001823,510
E02001824,580
E02001825,550
E02001826,500
E02002615,600
E02002616,770
E02002617,490
E02002618,570
E02002619,490
E02002620,420
E02002621,460
E02002622,460
E02002623,480
E02002624,760
E02002625,580
E02002626,570
E02002627,780
E02002628,570
E02002629,500
E02002630,560
E02002631,670
E02002632,900
E02002633,550
E02002634,540
E02002635,550
E02002636,540
E02002637,590
E02002638,420
E02002639,410
E02002640,380
E02002641,610
E02002642,380
E02002643,510
E02002644,600
E02002645,380
E02002646,510
E02002647,470
E02002648,510
E02002649,540
E02002650,600
E02002651,560
E02003853,800
E02003854,810
E02003855,770
E02003856,650
E02003857,860
E02003858,960
E02003859,760
E02003860,980
E02003861,720
E02003863,890
E02003862,920
E02003864,830
E02003865,740
E02003866,1020
E02003867,810
E02003868,610
E02003869,750
E02003870,630
E02003871,580
E02003872,810
E02003873,540
E02003811,890
E02003812,850
E02003813,650
E02003814,740
E02003815,550
E02003816,590
E02003817,730
E02003818,830
E02003819,710
E02003820,800
E02003821,620
E02003822,700
E02003825,770
E02003826,510
E02003827,490
E02003828,530
E02003829,560
E02003830,510
E02003823,680
E02003831,780
E02003824,800
E02003832,570
E02003833,600
E02003834,560
E02003835,790
E02003836,590
E02003838,670
E02003837,870
E02003839,630
E02003840,740
E02003841,680
E02003874,750
E02003875,840
E02003842,830
E02003843,620
E02003844,700
E02003845,460
E02003846,510
E02003847,830
E02003848,570
E02003849,530
E02003876,660
E02003850,630
E02003851,760
E02003877,800
E02003852,760
E02003878,690
E02003879,580
E02003880,600
E02003881,600
E02003882,590
E02003794,790
E02003883,990
E02003884,820
E02003795,790
E02003885,770
E02003796,640
E02003797,810
E02003798,520
E02003800,840
E02003799,520
E02003801,750
E02003802,560
E02003803,600
E02003886,600
E02003804,720
E02003887,730
E02003888,530
E02003805,870
E02003889,580
E02003806,820
E02003890,640
E02003807,840
E02003808,630
E02003891,800
E02003809,780
E02003810,720
E02002574,760
E02002575,910
E02002576,570
E02002577,530
E02002578,600
E02002579,550
E02002580,470
E02002581,650
E02002582,930
E02002583,530
E02002584,630
E02002585,550
E02002586,550
E02002587,580
E02002588,540
E02002589,780
E02002590,780
E02002591,780
E02002592,720
E02002593,750
E02002594,650
E02002595,480
E02002596,710
E02002597,540
E02002598,1000
E02002599,890
E02002600,540
E02002601,670
E02002602,510
E02002603,730
E02002604,760
E02002605,720
E02002606,500
E02002607,550
E02002608,710
E02002609,510
E02002610,920
E02002611,830
E02002612,790
E02002613,1020
E02002614,1070
E02003965,550
E02003966,730
E02003967,590
E02003968,600
E02003969,480
E02003970,730
E02003971,720
E02003972,580
E02003973,450
E02003974,550
E02003975,650
E02003976,600
E02003977,670
E02003978,620
E02003979,710
E02003980,500
E02003981,640
E02003982,720
E02003983,520
E02003984,430
E02003985,600
E02003986,570
E02003987,570
E02003988,600
E02003989,680
E02003990,700
E02003991,670
E02003992,520
E02003993,750
E02003994,510
E02003995,470
E02003996,530
E02003997,470
E02003998,510
E02003999,690
E02004000,590
E02004001,540
E02004002,740
E02004003,600
E02004004,520
E02004005,600
E02004006,740
E02004007,560
E02004008,690
E02004009,700
E02004010,500
E02004011,600
