URN,EstablishmentName,SchoolCapacity,Postcode,Easting,Northing
122271,Berwick St Mary's Church of England First School,150,TD15 1SP,399166,654722
122282,Holy Trinity Church of England First School,150,TD15 1NB,399596,653494
122309,"St Cuthbert's Roman Catholic Voluntary Aided First School, Berwick",90,TD15 2EX,399371,652516
122186,Tweedmouth West First School,150,TD15 2HS,399244,652391
122185,Spittal Community School,141,TD15 1RD,400552,651610
122187,Tweedmouth Prior Park First School,150,TD15 2DB,399557,651322
122248,Scremerston First School,90,TD15 2RB,400505,649276
135064,Norham St Ceolwulfs CofE Controlled First School,44,TD15 2JZ,390023,647179
122294,Holy Island Church of England First School,25,TD15 2SQ,412476,642007
131221,Lowick Church of England Voluntary Controlled First School,50,TD15 2UA,401555,639679
122291,"Hugh Joicey Church of England First School, Ford",75,TD15 2QA,394792,637460
122244,Belford Primary School,187,NE70 7QD,410541,633734
122214,Seahouses Primary School,150,NE68 7YF,421562,631560
122236,Wooler First School,135,NE71 6QF,399807,627900
122289,Ellingham Church of England Aided Primary School,105,NE67 5ET,417607,625333
122290,Embleton Vincent Edwards Church of England Primary School,84,NE66 3XR,423115,622695
122188,Branton Community Primary School,42,NE66 4JF,404632,616338
122277,Longhoughton Church of England Primary School,210,NE66 3AJ,424473,615301
122280,St Michael's Church of England Primary School,210,NE66 1DJ,418219,613341
122305,St Paul's RC Voluntary Aided Primary School,210,NE66 2NU,419387,612909
122172,Swansfield Park Primary School,315,NE66 1UL,418814,612853
122279,Whittingham Church of England Primary School,105,NE66 4UP,406638,611901
122264,Hipsburn Primary School,150,NE66 3PX,423787,611105
122238,Shilbottle Primary School,151,NE66 2XQ,420447,608448
122301,Warkworth Church of England Primary School,90,NE65 0TJ,424704,605235
145638,Harbottle Church of England First School,37,NE65 7DG,393495,604713
122173,Amble Links First School,150,NE65 0SA,427241,604399
122174,Amble First School,150,NE65 0EF,426350,604107
122240,Swarland Primary School,120,NE65 9JP,416404,603956
145637,Thropton Village First School,50,NE65 7JD,403184,602350
122221,Rothbury First School,126,NE65 7PG,405801,601948
122196,Broomhill First School,75,NE65 9UT,424528,601252
122273,Felton Church of England Primary School,105,NE65 9PY,418472,600781
122197,Red Row First School,145,NE61 5AS,425425,599155
122283,Longhorsley St Helen's Church of England Aided First School,87,NE65 8UT,414774,594532
135634,Grange View Church of England Voluntary Controlled First School,120,NE61 5LZ,424285,593858
122215,Otterburn Primary School,75,NE19 1JF,387470,593760
122233,Kielder Primary School and Nursery,75,NE48 1HQ,363240,593225
122299,Tritlington Church of England First School,60,NE61 3DU,418887,592368
122198,Ellington Primary School,210,NE61 5HL,428107,592039
122199,Linton Primary School,40,NE61 5SG,426366,591368
122216,Pegswood Primary School,216,NE61 6XG,422735,587691
122239,Bothal Primary School,650,NE63 8HZ,426441,587536
131021,Central Primary School,1036,NE63 0AX,427711,587441
122226,Greenhaugh Primary School,40,NE48 1LX,379417,587432
122307,St Aidan's Roman Catholic Voluntary Aided Primary School,210,NE63 9LR,428667,587193
145956,NCEA Bishop's Primary School,NA,NE63 9FZ,428959,586955
122190,West Woodburn First School,44,NE48 2RX,389193,586937
122297,Morpeth All Saints Church of England Aided First School,225,NE61 3RD,418756,586672
122312,St Robert's Roman Catholic Voluntary Aided First School,150,NE61 1QF,419671,585998
122247,Ringway Primary School,180,NE62 5YP,425942,585990
122232,Cambo First School,40,NE61 4BE,402411,585856
122178,Stakeford Primary School,210,NE62 5TZ,427122,585655
144181,Abbeyfields First School,378,NE61 2LZ,419208,585651
122243,Mowbray Primary School,320,NE62 5HQ,425867,585381
147820,Morpeth Stobhillgate First School,187,NE61 2HA,420917,585095
122210,Morpeth First School,300,NE61 2AP,420116,584555
122180,Choppington Primary School,120,NE62 5RR,425512,584276
122179,Cambois Primary School,105,NE24 1RD,430464,583857
122183,Bellingham Primary School,102,NE48 2EL,384365,583118
122177,Bedlington Station Primary School,262,NE22 7JQ,427636,583092
122181,Stead Lane Primary School,210,NE22 5JS,427196,582225
122176,Bedlington West End First School,300,NE22 6EB,425437,582036
139756,Morpeth Road Academy,446,NE24 5TQ,429922,581995
122308,St Bede's Roman Catholic Voluntary Aided Primary School,210,NE22 6EQ,425353,581992
122281,Bedlington Whitley Memorial Church of England First School,270,NE22 5DE,426261,581877
122254,Horton Grange Primary School,630,NE24 4RE,428644,581593
146544,Malvin's Close Academy,450,NE24 5BL,430403,581532
122302,Whalton Church of England Aided Primary School,70,NE61 3XH,413051,581243
122304,St Wilfrid's Roman Catholic Voluntary Aided Primary School,315,NE24 2LE,430808,581197
146545,Croftway Academy,450,NE24 2HP,431338,580977
122261,Newsham Primary School,457,NE24 4NX,430139,580047
122258,New Delaval Primary School,315,NE24 4DA,429625,579794
122228,Stannington First School,100,NE61 6HJ,420961,579491
145779,Belsay Primary School,105,NE20 0ET,410168,578875
122269,Cramlington Northburn Primary School,367,NE23 3QS,426384,578233
122191,Cramlington Eastlea Primary School,210,NE23 3ST,427046,578156
122266,Burnside Primary School,498,NE23 1XZ,426758,577981
138257,Cramlington Village Primary School,210,NE23 2SN,427452,577666
112103,Bewcastle School,56,CA6 6PF,352090,577361
122194,Cramlington Shanklea Primary School,462,NE23 1RQ,426665,577339
122300,Wark Church of England Primary School,75,NE48 3LS,386098,576820
122224,New Hartley First School,150,NE25 0RD,430563,576768
122193,Beaconhill Community Primary School,214,NE23 8EH,425323,576751
122268,Hareside Primary School,420,NE23 6BL,426340,576280
122234,Seaton Sluice First School,150,NE26 4BX,433837,576132
141832,Ss Peter and Paul's Catholic Primary Academy,150,NE23 6DB,426686,575924
134473,Cragside CofE Controlled Primary School,420,NE23 6LW,426830,575327
122223,Seaton Delaval First School,216,NE25 0EP,429922,575241
122195,Holywell Village First School,150,NE25 0LN,431693,574784
122225,Seghill First School,150,NE23 7SB,428603,574412
108611,Fordley Primary School,420,NE23 7AL,426385,573693
108600,Whitley Lodge First School,229,NE26 3HW,434312,573595
122272,Chollerton Church of England Aided First School,50,NE48 4AA,391659,573358
108437,Dinnington First School,160,NE13 7JY,421091,573258
145784,Richard Coates Church of England Primary School,380,NE20 9QB,416267,573210
108590,Coquet Park First School,150,NE26 1TQ,434916,573197
145780,Ponteland Primary School,420,NE20 9QB,416189,573193
108585,Southridge First School,300,NE25 9UD,433895,572912
108609,Greenfields Community Primary School,382,NE13 6NB,424376,572843
108589,Marine Park First School,378,NE26 1LT,435336,572634
108612,Burradon Community Primary School,200,NE23 7NG,427072,572382
108610,Hazlewood Community Primary School,269,NE13 6JJ,423763,572364
108580,Backworth Park Primary School,341,NE27 0AH,430081,572133
122202,Stamfordham Primary School,105,NE18 0NA,407994,572023
108588,South Wellfield First School,300,NE25 9QL,432654,571984
108583,Rockcliffe First School,251,NE26 2NR,436268,571908
112259,Shankhill CofE Primary School,56,CA6 6JA,347239,571840
108587,Bailey Green Primary School,524,NE12 6QL,427393,571672
108586,Amberley Primary School,420,NE12 6SQ,427997,571590
108584,Appletree Gardens First School,293,NE25 8XS,434356,571526
145781,Darras Hall Primary School,510,NE20 9DS,415291,571410
108591,Langley First School,330,NE25 9DL,433755,571390
138576,Grasmere Academy,111,NE12 6TS,427225,571377
108622,Star of the Sea RC VA Primary,420,NE25 9EG,434277,571103
108569,Cullercoats Primary School,431,NE30 4PB,436259,571098
108579,Shiremoor Primary School,418,NE27 0PW,431466,571055
122295,Humshaugh Church of England First School,60,NE46 4AA,391952,571038
108618,St Marys Roman Catholic Primary School Aided,210,NE30 3EY,435332,570925
135286,Brunton First School,450,NE13 9BD,422996,570751
108582,Westmoor Primary School,315,NE12 6SA,427415,570572
108581,Holystone Primary School,479,NE27 0DA,430335,570536
108578,Preston Grange Primary School,236,NE29 9QL,434459,570384
108576,Monkhouse Primary School,237,NE30 3SH,435641,570364
108620,St Marys Roman Catholic Primary School Aided,210,NE12 7AB,427962,570303
108605,Forest Hall Primary School,236,NE12 9BA,427920,570146
108606,Ivy Road Primary School,210,NE12 9AP,428437,569903
108607,New York Primary School,297,NE29 8DP,433067,569817
108577,Whitehouse Primary School,210,NE29 8PE,434214,569559
108604,Benton Dene Primary School,420,NE12 8FD,427327,569417
108442,Gosforth Park First School,225,NE3 5JQ,424559,569326
108443,Broadway East First School,225,NE3 5JQ,424559,569326
108573,King Edward Primary School,420,NE30 2BD,435628,569257
143268,North Fawdon Primary School,210,NE3 2SL,422619,569255
108497,St Oswald's RC Primary School,210,NE3 5LE,424574,569215
132141,Hadrian Park Primary School,472,NE28 9RT,431289,569039
143270,Kingston Park Primary School,469,NE3 2EL,421021,568985
143116,Longtown Primary School,189,CA6 5UG,338265,568876
108444,Grange First School,322,NE3 2NP,423882,568860
108615,St Bartholomew's Church of England Primary School (Aided),210,NE12 8FA,427309,568845
108621,St Stephens Roman Catholic Primary School Aided,262,NE12 8FA,427274,568826
108440,Regent Farm First School,300,NE3 3PE,423302,568788
108614,Christ Church CofE Primary School,180,NE30 2AD,435483,568731
108496,St Charles' RC Primary School,262,NE3 3HE,423969,568648
108574,Spring Gardens Primary School,452,NE29 0HP,435047,568640
108603,Balliol Primary School,210,NE12 8QP,426854,568581
108495,Archbishop Runcie CofE First School,176,NE3 1US,425080,568383
108602,Collingwood Primary School,410,NE29 7JQ,434015,568375
108595,Battle Hill Primary School,420,NE28 9DH,430893,568360
108616,St Cuthberts Roman Catholic Primary School Aided,242,NE29 0BU,435168,568231
108454,Simonside Primary School,315,NE5 4LG,419586,568192
108438,Archibald First School,352,NE3 1EB,424095,568136
108624,St Bernadettes Roman Catholic Primary School Aided,315,NE28 9JW,429856,568061
108617,St Josephs Roman Catholic Primary School Aided,315,NE29 7BT,434126,568024
143269,Mountfield Primary School,217,NE3 3AT,422437,568021
108623,St Aidan's Roman Catholic Primary School,236,NE28 0EP,431788,567973
108506,St Cuthbert's Catholic Primary School,210,NE3 3QR,422001,567965
108594,Wallsend Jubilee Primary School,420,NE28 9HA,429350,567955
143267,Kenton Bar Primary School,400,NE3 3YF,421555,567940
112256,Walton & Lees Hill CofE School,56,CA8 2BB,355358,567904
108599,Redesdale Primary School,350,NE28 8TS,428915,567889
108459,Benton Park Primary School,420,NE7 7SS,426955,567875
108668,Hadrian Primary School,280,NE33 2BB,436381,567833
108571,Waterville Primary School,210,NE29 6SL,434973,567812
122298,Newbrough Church of England Primary School,107,NE47 5AQ,388069,567810
143271,Cheviot Primary School,232,NE5 4EB,420275,567782
108498,St Mark's RC Primary School,235,NE5 4BT,419868,567623
108575,Riverside Primary School,236,NE29 6DQ,434550,567590
108439,South Gosforth First School,300,NE3 1YF,425118,567576
108608,Denbigh Community Primary School,472,NE28 0DS,432274,567400
108457,Westerhope Primary School,420,NE5 1NE,419054,567320
143272,Farne Primary School,282,NE5 4AP,420228,567294
108465,Cragside Primary School,420,NE7 7EL,426490,567245
143273,Wyndham Primary School,210,NE3 4QP,423032,567209
108675,Marine Park Primary School,238,NE33 2RD,436787,567157
108451,Milecastle Primary School,210,NE5 1LH,418206,567023
108446,Throckley Primary School,315,NE15 9DY,415405,566989
108572,Percy Main Primary School,300,NE29 6JA,433710,566982
108625,St Columbas Roman Catholic Primary School Aided,210,NE28 8EN,429434,566944
108597,Stephenson Memorial Primary School,434,NE28 0AG,432275,566938
145782,"Heddon-On-the-Wall, St Andrew's Church of England Primary School",210,NE15 0BJ,413152,566913
134187,Westoe Crown Primary School,630,NE33 3NS,437352,566757
108450,Knop Law Primary School,420,NE5 1DS,417962,566719
138995,Hilton Primary Academy,420,NE5 3RN,420809,566719
144524,Beech Hill Primary School,447,NE5 2LW,419809,566677
108715,"St Bede's RC Voluntary Aided Primary School, South Shields",210,NE33 4PG,436522,566671
108626,Wallsend St Peter's CofE Aided Primary School,208,NE28 6PY,431137,566660
122170,Acomb First School,75,NE46 4PL,393526,566642
108500,St Cuthbert's RC Primary School,210,NE15 8JL,416955,566570
108596,Richardson Dees Primary School,210,NE28 7RT,430529,566548
133384,Western Community Primary School,498,NE28 8QL,429340,566498
108501,St John Vianney RC Primary School,420,NE5 1DN,418689,566453
140788,Thomas Walling Primary Academy,446,NE5 3PL,421177,566439
144559,Walbottle Village Primary School,240,NE15 8JL,416954,566420
122222,Beaufront First School,75,NE46 4LY,395782,566384
108475,Ravenswood Primary School,690,NE6 5TU,427144,566379
108449,West Denton Primary School,367,NE5 1DN,418775,566364
131203,West Jesmond Primary National Teaching School,630,NE2 3AJ,425136,566349
138159,Gilsland CofE Primary School,57,CA8 7AA,363110,566199
108672,Laygate Community School,294,NE33 4JJ,436401,566047
108503,English Martyrs' RC Primary School,420,NE5 2SA,421376,565977
108592,Carville Primary School,314,NE28 6AX,429690,565935
134230,Sea View Primary School,420,NE34 7TD,438458,565818
108447,Newburn Manor Primary School,210,NE15 8PD,416773,565717
108513,St Teresa's Catholic Primary School,210,NE6 5HN,426830,565636
108463,Chillingham Road Primary School,260,NE6 5XX,427111,565566
108507,St Catherine's RC Primary School,210,NE2 1PS,426042,565547
144273,Walkergate Community School,734,NE6 4SD,428342,565537
145624,Sacred Heart Primary School,236,NE4 9XZ,421889,565447
112420,Fir Ends Primary School,105,CA6 6AY,344282,565431
108716,St Gregory's RC Voluntary Aided Primary School,210,NE34 6DZ,438184,565368
108695,Dunn Street Primary School,150,NE32 3QH,433160,565366
108673,Mortimer Primary School,575,NE34 0RW,436916,565267
143266,Stocksfield Avenue Primary School,420,NE5 2DQ,420977,565265
122284,Greenhead Church of England Primary School,60,CA8 7HB,366040,565245
108515,St Alban's RC Primary School,297,NE6 4HQ,428906,565221
108711,St Oswald's CofE Aided Primary School,210,NE31 1HT,431931,565197
108468,Broadwood Primary School,420,NE15 7TB,419614,565124
108719,St Aloysius' RC Voluntary Aided Junior School,240,NE31 1BQ,431076,565094
108720,St Aloysius RC Voluntary Aided Infant School,180,NE31 1RZ,431052,565086
108725,"St Bede's RC Primary School, Jarrow",210,NE32 3AJ,433120,565065
108676,Stanhope Primary School,210,NE33 4SZ,436108,565020
108505,St Bede's RC Primary School,210,NE15 7HS,419999,564999
146911,Wylam First School,150,NE41 8EH,411891,564983
108491,Hotspur Primary School,420,NE6 5PA,426291,564971
108685,Ashley Primary School,384,NE34 0QA,436477,564911
108487,Wingrove Primary School,420,NE4 9HN,422523,564902
108453,Waverley Primary School,315,NE15 7QZ,419116,564867
122287,Corbridge Church of England Aided First School,150,NE45 5JQ,399366,564769
108492,Moorside Primary School,503,NE4 5AW,423419,564755
108456,Lemington Riverside Primary School,210,NE15 8RR,418649,564728
136178,Harton Primary School,630,NE34 6PF,438344,564710
133680,Jarrow Cross CofE Primary School,315,NE32 5UW,432973,564701
108717,SS Peter and Paul RC Voluntary Aided Primary School,210,NE33 4RD,435920,564633
108493,Christ Church CofE Primary School,140,NE2 1XA,425532,564589
108509,St Lawrence's RC Primary School,210,NE6 2JX,427345,564573
144272,Tyneview Primary School,210,NE6 3QP,429418,564476
108499,St George's RC Primary School,140,NE15 6XX,418944,564446
144970,Westgate Hill Primary Academy,704,NE4 5JN,423336,564439
108458,Byker Primary School,494,NE6 2AT,426970,564376
122276,Henshaw Church of England Voluntary Aided Primary School,75,NE47 7EP,376481,564340
108461,Canning Street Primary School,480,NE4 8PA,421961,564327
138577,Welbeck Academy,420,NE6 2QL,427875,564317
108355,Ryton Junior School,236,NE40 3AF,414307,564254
146372,Haltwhistle Primary Academy,306,NE49 9DP,370262,564245
122242,The Sele First School,420,NE46 3QZ,393281,564217
108352,Ryton Community Infant School,170,NE40 3AF,414465,564161
108466,Bridgewater Primary School,480,NE15 6NL,420987,564102
145412,Shaftoe Trust Academy,210,NE47 6BN,384340,564101
108700,Lord Blyton Primary School,236,NE34 9BN,434903,564092
108366,Crookhill Community Primary School,210,NE40 3ES,416314,563998
139124,Ridgeway Primary Academy,472,NE34 8AB,437586,563984
108502,St Paul's CofE Primary School,266,NE4 7JU,423790,563957
136163,Hebburn Lakes Primary School,420,NE31 2SL,431586,563921
108508,St Joseph's Catholic Primary School,236,NE15 6JB,421442,563919
108392,St Mary and St Thomas Aquinas Catholic Primary School,210,NE21 4NE,417154,563918
108510,Our Lady and St Anne's RC Primary School,210,NE4 6EB,423997,563905
138212,Atkinson Road Primary Academy,524,NE4 8XT,421604,563889
122311,St Mary's Roman Catholic Voluntary Aided First School,150,NE46 2EE,393323,563874
112254,Lanercost CofE Primary School,70,CA8 2HL,355879,563872
108460,Hawthorn Primary School,222,NE4 6SB,423357,563851
141160,Holy Trinity Church of England Academy (South Shields),210,NE34 0TS,435730,563824
139729,West Newcastle Academy,196,NE4 8QP,421923,563821
108339,Emmaville Primary School,315,NE40 4ND,413709,563753
138025,Monkton Academy,240,NE34 9RD,434794,563689
108693,Bede Burn Primary School,210,NE32 5NJ,432296,563675
108723,St James' RC Voluntary Aided Primary School,210,NE31 2BP,431552,563638
122203,Hexham First School,150,NE46 1JD,394408,563638
108694,Valley View Primary School,210,NE32 5QY,432805,563634
144269,West Walker Primary School,280,NE6 3XW,429396,563630
108514,St Vincent's RC Primary School,210,NE6 2TX,428115,563628
144270,Central Walker Church of England Primary School,420,NE6 2NP,428565,563627
108476,St Johns Primary School,210,NE4 8HE,422178,563626
108678,Biddick Hall Junior School,240,NE34 9SP,435644,563547
108698,Simonside Primary School,294,NE32 4AU,434001,563542
139314,Monkton Infants' School,180,NE34 9SD,435110,563527
146931,Ovingham Church of England First School,150,NE42 6DE,408221,563480
144971,St Michael's RC Primary School,210,NE4 7RE,423163,563426
147102,St Mary's Catholic Primary School,210,NE32 4AW,433977,563309
143543,Adderlane Academy,150,NE42 5HX,410241,563302
108390,St Agnes' Catholic Primary School,200,NE40 4UN,413787,563296
108349,Blaydon West Primary School,210,NE21 4PY,418344,563259
108718,St Oswald's RC Voluntary Aided Primary School,210,NE34 8NS,436744,563255
108704,Toner Avenue Primary School,360,NE31 2LJ,430837,563239
108687,Marsden Primary School,210,SR6 7HJ,440624,563161
108682,Biddick Hall Infants' School,180,NE34 9JD,435416,563098
108395,"St Joseph's Catholic Primary School, Blaydon",210,NE21 4BG,418041,563019
146924,Prudhoe Castle First School,150,NE42 6PN,408726,562941
108721,St Matthew's RC Voluntary Aided Primary School,210,NE32 5YT,432525,562929
144180,Prudhoe West Academy,300,NE42 6HR,409234,562839
141828,St Matthew's Catholic Primary School,129,NE42 6EY,409319,562668
