URN,EstablishmentName,SchoolCapacity,Postcode,Easting,Northing,,,,,,,,,,,,,,,
137598,Berwick Academy,934,TD15 2JF,399936,651376,,,,,,,,,,,,,,,
145639,Dr Thomlinson Church of England Middle School,258,NE65 7RJ,406293,601192,,,,,,,,,,,,,,,
137746,The King Edward VI Academy,1506,NE61 1DN,419647,586766,,,,,,,,,,,,,,,
137747,Morpeth Chantry Middle School,593,NE61 1RQ,419230,586396,,,,,,,,,,,,,,,
137748,Morpeth Newminster Middle School,512,NE61 1RH,419136,586331,,,,,,,,,,,,,,,
138078,Meadowdale Academy,480,NE22 6HA,425090,582427,,,,,,,,,,,,,,,
141814,St Benet Biscop Catholic Academy,1140,NE22 6ED,425290,582104,,,,,,,,,,,,,,,
137457,Cramlington Learning Village,2238,NE23 6BN,426176,575865,,,,,,,,,,,,,,,
143469,Ponteland Community Middle School,508,NE20 9EY,416539,572179,,,,,,,,,,,,,,,
145783,Ponteland High School,1145,NE20 9EY,416508,572103,,,,,,,,,,,,,,,
137734,St Thomas More Roman Catholic Academy,1650,NE29 8LF,433557,569403,,,,,,,,,,,,,,,
136352,Gosforth Academy,1703,NE3 2JH,424162,568788,,,,,,,,,,,,,,,
136348,Gosforth Junior High Academy,580,NE3 1EE,424103,568289,,,,,,,,,,,,,,,
140081,St Mary's Catholic School,1150,NE7 7PE,426075,568146,,,,,,,,,,,,,,,
138120,Kenton School,2144,NE3 3RU,422076,567804,,,,,,,,,,,,,,,
144271,Benfield School,1214,NE6 4NU,428294,566235,,,,,,,,,,,,,,,
137708,Sacred Heart Catholic High School,1385,NE4 9YH,421933,565358,,,,,,,,,,,,,,,
145528,Walker Riverside Academy,1301,NE6 4AW,429182,565232,,,,,,,,,,,,,,,
137900,St Cuthbert's High School,1178,NE15 7PX,420876,564975,,,,,,,,,,,,,,,
144204,Harton Academy,1601,NE34 6DL,438028,564724,,,,,,,,,,,,,,,
142601,St Wilfrid's RC College,1098,NE34 0QA,436632,564665,,,,,,,,,,,,,,,
143291,Queen Elizabeth High School,1474,NE46 3JB,392556,563954,,,,,,,,,,,,,,,
143292,Hexham Middle School,635,NE46 1BU,393740,563802,,,,,,,,,,,,,,,
146894,Ovingham Middle School,384,NE42 6DE,408113,563472,,,,,,,,,,,,,,,
137851,St Thomas More Catholic School,1509,NE21 4BQ,417885,562988,,,,,,,,,,,,,,,
139878,St Joseph's Catholic Academy,1490,NE31 2ET,430671,562909,,,,,,,,,,,,,,,
146871,Highfield Middle School,480,NE42 6EY,409273,562569,,,,,,,,,,,,,,,
146926,Prudhoe Community High School,860,NE42 5LJ,409649,562377,,,,,,,,,,,,,,,
136386,Whitburn Church of England Academy,1082,SR6 7EF,440786,562198,,,,,,,,,,,,,,,
137252,William Howard School,1600,CA8 1AR,352532,561293,,,,,,,,,,,,,,,
137360,Whickham School,1713,NE16 5AR,420291,560694,,,,,,,,,,,,,,,
137852,Cardinal Hume Catholic School,1465,NE9 6RZ,427415,560129,,,,,,,,,,,,,,,
144937,Washington Academy,900,NE37 2AA,430755,557206,,,,,,,,,,,,,,,
138054,St Anthony's Girls' Catholic Academy,1359,SR2 7JN,439136,556366,,,,,,,,,,,,,,,
137369,Trinity School,1500,CA1 1JB,340363,556171,,,,,,,,,,,,,,,
138923,Oxclose Community Academy,1050,NE38 0LN,429254,555825,,,,,,,,,,,,,,,
139538,St Aidan's Catholic Academy,1099,SR2 7HJ,439327,555535,,,,,,,,,,,,,,,
137942,Lord Lawson of Beamish Academy,1496,DH3 2LP,427650,555432,,,,,,,,,,,,,,,
139839,Biddick Academy,1100,NE38 8AL,430999,555287,,,,,,,,,,,,,,,
138103,Southmoor Academy,1264,SR2 7TF,440112,555272,,,,,,,,,,,,,,,
147142,St Robert of Newminster Catholic School and Sixth Form College,1550,NE38 8AF,430824,554855,,,,,,,,,,,,,,,
139184,Venerable Bede Church of England Academy,900,SR2 0SX,439318,553480,,,,,,,,,,,,,,,
139852,Farringdon Community Academy,900,SR3 3EL,436834,553281,,,,,,,,,,,,,,,
136971,Park View School,1484,DH3 3QA,427692,551263,,,,,,,,,,,,,,,
137254,Caldew School,1050,CA5 7NN,337121,550532,,,,,,,,,,,,,,,
137262,Kepier,1368,DH4 5BH,433897,549594,,,,,,,,,,,,,,,
